0,1,2
S. No.,Name of the trade and industry chambers /  associations,"Reach of trade and 
industry chambers/
associations  
(State/National)"
1.,Bombay Chamber of Commerce and Industry,State
2.,Confederation of Indian Industry,National
3.,Federation of Indian Chambers of Commerce and Industry,National
4.,Bombay Management Association,State
5.,Indo-German Chamber of Commerce,International
6.,Indian Merchants’ Chamber,National
7.,International Union for Housing Finance,International
8.,National Real Estate Development Council,National
9.,Association of Financial Professionals of India,National
