0,1,2,3,4,5,6,7,8,9,10,11,12
"T
  T
   
he  Bank  remains  committed  to  being  an  organisation  with  strong  respect  for  human  rights, 
inclusive  environment  &  safe  work  conditions  and  ethically  sound  business  practices  for 
employees. The Bank has employed many person with disabilities under its ACCESS program. The 
Bank strives to create an inclusive and safe work environment for its employees, it has initiated 
the  creation  of  signages  for  inclusive  restrooms  in  our  large  offices,  which  are  accessible  to 
persons with physical disabilities. The signage has a braille script for easy navigation for persons 
with visual impairment.  
 
4.  Does the entity have an equal opportunity policy as per the Rights of Persons with Disabilities 
Act, 2016? If so, provide a web-link to the policy. 
he Bank has a standalone Equal Employment Opportunity Policy that guides and reinforces the 
Bank's focus on merit as the role criterion for employment and advancement. The Policy can be 
accessed at- 
https://www.axisbank.com/docs/default-source/default-document-
library/Equal_opportunity_policy.pdf 
5. 
Return to work and Retention rates of permanent employees and workers that took parental 
leave. 
 
 
6. 
Is there a mechanism available to receive and redress grievances for the following categories 
of employees and worker? If yes, give details of the mechanism in brief. 
 
 
7.  Membership of employees and worker in association(s) or Unions recognised by the listed 
entity: 
 
The Bank does not have any employee trade union and not in any collective bargaining 
agreement, although it allows all employees to exercise the lawful right to ‘freedom of 
association’. 
 
8. Details of training given to employees and workers:",,,,,,,,,,,,
,,,,Permanent employees,,,,Permanent workers,,,,
,,Gender,,Return to work Rate  Retention rate,,,,"Return to work Rate 
Retention rate",,,,
,,Male,,"1
00%",,"8
2.35%",,Not Applicable,,,,
,,Female,,90.54%,,93.47%,,,,,,
,,,,,,,,,,,,
,,Total,,96.7%,,85.95%,,,,,,
,,,,,,,,,,,,
,,,,,,,"Yes/No  
(If Yes, then give details of the 
mechanism in brief)",,,,,
,,,Permanent Workers,,,,,,,,,
,,,Other than Permanent Workers,,,,Not Applicable,,,,,
,,,Permanent Employees,,,,Yes,,,,,
,,,Other than Permanent Employees,,,,Yes,,,,,
,,,,,,,,,,,,
,Category,,,,"FY 2022 
(Current Financial Year)",,,,"FY 2021 
(Previous Financial Year)",,,
,,,,,"Total 
On health and 
On Skill 
(A)  
safety 
Upgradation 
measures",,,,"On 
Total 
On Skill 
Health and safety 
(D) 
upgradation 
measures",,,
,,,,,"% 
No. (B) 
No. (C)  % (C/A) 
(B/A)",,,,"No. (B)  % (B/A) 
No. (C) 
% (C/A)",,,
,Employees,,,,,,,,,,,
,,,,,,,,,,,,
