0,1,2,3,4,5,6,7,8
"N
  4
 N
  5
    N
  N
  6
ote: Indicate if any independent assessment/ evaluation/assurance has been carried out by an 
external agency? (Y/N) If yes, name of the external agency. 
 Not Applicable 
.  Has the entity implemented a mechanism for Zero Liquid Discharge? If yes, provide details of its 
coverage and implementation. 
o. The Bank does not have in place a Zero Liquid Discharge mechanism at present. 
. 
Please provide details of air emissions (other than GHG emissions) by the entity, in the following 
format: 
 
ote: Indicate if any independent assessment/ evaluation/assurance has been carried out by an 
external agency? (Y/N) If yes, name of the external agency. 
ot Applicable 
. 
Provide details of greenhouse gas emissions (Scope 1 and Scope 2 emissions) & its intensity, in 
the following format:",,,,,,,,
,"Total volume of water 
consumption (in kilolitres)",,,,,,,
,"Water 
intensity 
per rupee 
of turnover (Water consumed / 
turnover)",,,,,,,
,"Water 
intensity (optional) – the 
 relevant metric may be selected by 
the entity",,,,,,,
,,,,,,,,
,Parameter,"Please specify Unit 
FY 2021-22 
FY 2020-21",,,,,,
,NOx,"As a provider of financial services, Air emissions other than GHG 
emissions are not material to the Bank",,,,,,
,SOx,,,,,,,
,"Particulate Matter 
(PM)",,,,,,,
,"Persistent Organic 
Pollutants (POP)",,,,,,,
,"Volatile Organic 
Compounds (VOC)",,,,,,,
,"Hazardous air 
pollutants (HAP)",,,,,,,
,Others (please specify),,,,,,,
,,,,,,,,
,Parameter,,Unit,,FY 2021-22,,FY 2020-21,
,"Total Scope 1 emissions 
(Break-up of the GHG 
into CO2, CH4, N2O, 
HFCs, PFCs, SF6, NF3, if 
available)",,"Metric 
tonnes 
of 
CO2 
equivalent",,"1
1717.34 (tCO2e) 
Break-up of above 
GHG figure into  
CO2- 11645.70 (Tons) 
CH4,- 45.89 (tCO2e) 
N20 - 25.74(tCO2e)",,"5
558.90 (tCO2e) 
Break-up of above 
GHG figure into  
CO2- 5526.16 (Tons) 
CH4,- 20.88 (tCO2e) 
N20 – 11.86 (tCO2e)",
,"Total Scope 2 emissions 
(Break-up of the GHG 
into CO2, CH4, N2O,",,"Metric of CO2 
equivalent",,"1,63,552",,"1,95,884",
,,,,,,,,
