0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"I
  1
   
    b
 
Retail Banking: The Bank offers omni-channel banking services to our urban, semi-urban and rural consumers 
with an expansive range of products and services in loans, payments, savings, insurance and investments.   
Commercial and Wholesale Banking: The Bank provides service to leading corporates and MSMEs with a range 
of products and services including loans, deposits, trade finance, foreign exchange, and derivatives 
(for further details, refer to page 7 of the Annual Report 2021-22 - https://www.axisbank.com/annual-
reports/2021-2022/Axis%20Bank%20AR%202021-22.pdf .) 
V. 
Employees 
8. 
Details as at the end of Financial Year: 
 
a. 
Employees and workers (including differently abled): 
. Differently abled Employees and workers:",,,,,,,,,,,,,,,,
,"Sr no 
Particulars 
Total(A) 
Male 
Female 
Others",,,,,,,,,,,,,,,
,"No.(B) 
%(B/A) 
No.(C) 
%(C/A)",,,,,,,,,,,,,,,
,Employees,,,,,,,,,,,,,,,
,1,,"Permanent 
(D)","85,815",,,"64,655",,75.3%,,"21,158",,24.7,2,,
,2,,"Other than 
Permanent 
(E)","9,791",,,8571,,87.54%,,1220,,12.46%,0,,
,3,,"Total 
 
employees 
(D + E)","95,606",,,"73,226",,,,"22,378",,,,,
,Workers,,,,,,,,,,,,,,,
,4,,"Permanent 
(F)",Not Applicable,,,,,,,,,,,,
,5,,"Other than 
Permanent 
(G)",,,,,,,,,,,,,
,6,,"Total 
workers 
(F + G)",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"S. 
Particulars 
Total 
Male 
Female",,,,,,,,,,,,,,,
,"No. (B) 
% (B / A) 
No. (C) 
% (C / A) 
No 
 
 
(A)",,,,,,,,,,,,,,,
,Differently Abled Employees,,,,,,,,,,,,,,,
,1.,Permanent (D),,,49,44,,89.8%,,5,,10.2%,,,,
,2.,"Other 
than  
Permanent (E)",,,Nil,Nil,,Nil,,Nil,,Nil,,,,
,3.,"Total 
differently  
abled employees 
(D + E)",,,49,44,,89.8%,,5,,10.2%,,,,
,Differently Abled Workers,,,,,,,,,,,,,,,
,"4. 
Permanent (F) 
 
 
 
 
 
 
Not Applicable",,,,,,,,,,,,,,,
,"5. 
Other 
than",,,,,,,,,,,,,,,
