0,1,2,3,4,5,6,7,8,9,10,11
"SECTION B: MANAGEMENT AND PROCESS DISCLOSURES 
This section is aimed at helping businesses demonstrate the structures, policies and processes 
put in place towards adopting the NGRBC Principles and Core Elements.",,,,,,,,,,,
,"Disclosure 
P 
P 
P 
P 
P 
P 
P 
P 
P 
Questions 
1 
2 
3 
4 
5 
6 
7 
8 
9",,,,,,,,,,
,Policy and management processes,,,,,,,,,,
,"1.  a. Whether your entity’s policy/policies cover each 
principle and its core elements of the NGRBCs. 
(Yes/No)",,Yes#  Yes#  Yes#  Yes#  Yes#  Yes#  No^  Yes#  Yes#,,,,,,,,
,"b.  Has  the  policy  been  approved  by  the Board? 
(Yes/No)",Y**,Y**,Y**,Y**,Y**,Y**,-,Y**,Y**,
,"c. Web Link of the Policies, if available",,Yes^  Yes^  Yes^  Yes^  Yes^  Yes^,,,,,-,,Yes^  Yes^,
,"2.  Whether 
the  entity  has 
translated 
the policy 
into procedures. (Yes / No)",Yes,Yes,Yes,Yes,Yes,Yes,-,Yes,Yes,
,"3.  Do  the  enlisted  policies  extend  to  your value 
chain partners? (Yes/No)",Yes,Yes,Yes,Yes,Yes,Yes,-,Yes,Yes,
,"4.  Name of the national and international 
codes/certifications/labels/ standards (e.g. Forest 
Stewardship Council, Fairtrade, Rainforest 
Alliance, Trustea) standards (e.g. SA 8000, OHSAS, 
ISO, BIS) adopted by your entity and mapped to 
each principle.",Y*,Y*,Y*,Y*,Y*,Y*,-,Y*,Y*,
,"5. 
Specific  commitments,  goals  and  targets set by 
the entity with defined timelines, if any.",Yes,Yes,Yes,Yes,Yes,Yes,-,Yes,Yes,
,"6.  Performance of the entity against the specific 
commitments, goals and targets along-with 
reasons  in  case  the  same  are not met.",Yes,Yes,Yes,Yes,Yes,Yes,-,Yes,Yes,
,"Governance, leadership and oversight",,,,,,,,,,
,"7. 
Statement by director responsible for the business responsibility report, highlighting ESG related 
challenges,  targets  and  achievements  (listed  entity  has  flexibility  regarding  the placement of this 
disclosure)",,,,,,,,,,
,"8.  Details of the highest authority responsible for 
implementation  and  oversight  of  the 
Business Responsibility policy (ies).",The Board of the Bank and its respective Committees,,,,,,,,,
,"9. Does the entity have a specified  Committee of the 
Board/ Director responsible  for  decision  making 
on Sustainability related issues? (Yes / No). If yes, 
provide details.","Yes. Axis Bank has formed an ESG Committee of the 
Board which is responsible for decision making on 
sustainability & ESG related issues.",,,,,,,,,
,,,,,,,,,,,
