0,1,2,3
"#
13. Customer Rights Policy 
14. Code of Conduct for Direct Selling Agents 
15. Policy on Related Party Transactions 
16. Comprehensive Deposit Policy 
17. Policy on Collection of Dues and Repossession of Securities 
18. Code of Practices and Procedures for Fair Disclosure of Unpublished Price Sensitive Information 
(UPSI) 
19. Policy for Determining Material Subsidiaries 
20. Policy for Determining Material Event or Information 
21. Policy for lending to Micro Small & Medium Enterprises (MSMEs) 
22. Privacy Policy 
23. Remuneration Policy for Non-Executive Chairman and Non-Executive Directors 
24. Remuneration Policy for MD& CEO, Whole Time Directors, Material Risk Takers, Control Function 
Staff and Other Employees 
25. Archival Policy 
26. Dividend Distribution Policy 
27. Diversity, Equity & Inclusion Policy 
28. Tax Policy 
The remaining policies being internal documents are available to the employees through the Bank’s 
intranet.  
 Principle-wise policies",,,
,P1,"Compliance Policy, Whistleblower Policy, Anti Money Laundering Policy, Policy on 
prevention and reporting of frauds, Policy on recognition/rewards for detection of fraud, 
Code of Bank’s Commitment to Customers, Code of Bank’s Commitment to Micro and Small 
Enterprise, Code of Conduct and Ethics, Code of Conduct and Conflict of Interest Norms in 
respect of Board of Directors, Code of Conduct for Direct Selling Agents, Policy on Related 
Party Transactions, Code of Practices and Procedures for Fair Disclosure of Unpublished 
Price Sensitive Information (UPSI), Policy for Determining Material Subsidiaries, Policy for 
Determining Material Event or Information, Archival Policy, Dividend Distribution Policy, 
Tax Policy",
,P2,"Code of Bank’s Commitment to Micro and Small Enterprise, Sustainable Lending Policy and 
Procedures, Credit Policy (SME Priority Sector exposures: Concessionary pricing), Policy for 
lending to Micro Small & Medium Enterprises (MSMEs)",
,P3,"Staff Housing Loan Policy, Staff Rules and Guidelines (covering leave policy, insurance 
benefits, superannuation scheme etc.), Policy on Prevention of Sexual Harassment, Policy on 
Safety for Women at Workplace, Policy on Human Rights, Equal Employment Opportunity 
Policy, Remuneration Policy for Non-Executive Chairman and Non-Executive Directors, 
Remuneration Policy for MD & CEO, Whole Time Directors, Material Risk Takers, Control 
Function Staff and Other Employees, Diversity, Equity & Inclusion Policy",
,P4,"Code of Bank’s Commitment to Micro and Small Enterprise, Policy on Corporate Social 
Responsibility Policy, Credit Policy (SME Priority Sector exposures: Concessionary Pricing), 
Policy for lending to Micro Small & Medium Enterprises (MSMEs)",
,P5,"Policy on Human Rights, Code of Conduct and Ethics",
,P6,Policy on Environment Management,
,P8,"Financial Inclusion practices, Policy on Corporate Social Responsibility",
,P9,"Code of Bank’s Commitment to Customers, Code of right sell for liability & investment 
products, Policy on outsourcing of financial services, Consumer Lending Credit Policy, 
Information Systems Security Policies, Citizen’s Charter – A Charter for Customer Service, 
Customer Rights Policy, Comprehensive Deposit Policy, Policy on Collection of Dues and 
Repossession of Securities, Privacy Policy",
"12. 
If answer to question (1) above is “No” i.e. not all Principles are covered by a 
policy, reasons to be stated: 
 
P 
P 
P 
P 
P 
P 
P 
P 
Questions 
1 
2 
3 
4 
5 
6 
7 
8",,,"P 
9"
