0,1,2,3,4,5,6,7,8,9,10,11
"P
 
 
2.  Details of fines / penalties /punishment/ award/ compounding fees/ settlement amount paid in 
proceedings (by the entity or by directors / KMPs) with regulators/ law enforcement agencies/ 
judicial  institutions,  in  the  financial  year,  in  the  following  format  (Note:  the  entity  shall  make 
disclosures on the basis of materiality as specified in Regulation 30 of SEBI (Listing Obligations 
and Disclosure Obligations) Regulations, 2015 and as disclosed on the entity’s website): 
lease refer to 82, 149-150 and 224 of the Annual Report 2021-22 for details on penalties 
imposed",,,,,,,,,,,
,,,,"employees rise beyond their 
inherent unconscious 
Biases. The pause for bias 
training is a part of the 
induction program, and so 
far, the team has conducted 
187 ‘Pause for Bias’ sessions 
and have covered 36,941 
employees across the Bank.",,,,,,,
,,Workers,,Not Applicable,,,,,,,
,,,,,,,,,,,
,Monetary,,,,,,,,,,
,"NGRBC 
Principle",,"Name of the 
regulatory/ 
enforcement 
agencies/ 
judicial 
institutions",,"Amount (In 
INR)",Brief of the Case,,,"Has an 
appeal 
been 
preferred? 
(Yes/No)",,
,"Penalty/ Fine 
(1)",,"Reserve Bank 
of India (RBI)",,5 Crore,"T
Reserve Bank of India (RBI) 
has imposed a monetary 
penalty of Rs 5 crores on Axis 
Bank for contravention of / 
non-compliance with certain 
provisions of directions 
issued by RBI. The penalty 
has been imposed in exercise 
of powers vested in RBI 
under the provisions of 
section 47 A (1) (c) read with 
section 46 (4) (i) of the 
Banking Regulation Act, 
1949, in respect of the non-
compliances which occurred 
during the preceding two 
years and earlier periods. 
he said penalties does not 
have any material impact on 
the Bank.",,,No,,
,"Compounding 
Fee",,Nil,,,,,,,,
,Imprisonment,,Nil,,,,,,,,
,Punishment,,Nil,,,,,,,,
"3.  Of the instances disclosed in Question 2 above, details of the Appeal/ Revision preferred in 
cases where monetary or non-monetary action has been appealed.",,,,,,,,,,,
