0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"E
  N
PRINCIPLE 3 Businesses should respect and promote the well-being of all employees, including those 
in their value chains 
ssential Indicators 
 
1.  a. Details of measures for the well-being of employees: 
 
 
b. Details of measures for the well-being of workers: 
ot Applicable 
 
2. Details of retirement benefits, for Current FY and Previous Financial Year.",,,,,,,,,,,,,,,,,,
,% of employees covered by,,,,,,,,,,,,,,,,,
,"Catego
Total 
Health 
Accident 
Maternity Benefits  Paternity benefits 
Day care 
ry 
(A) 
insurance 
insurance 
facilities",,,,,,,,,,,,,,,,,
,"Number 
% 
Number 
% 
Number 
% (D/A)  Number 
% (E/A) 
Number 
% 
 
(B) 
(B/A) 
(C) 
(C/A) 
(D) 
(E) 
(F) 
(F/A)",,,,,,,,,,,,,,,,,
,Permanent employees,,,,,,,,,,,,,,,,,
,Male,,,"64,655  64,655",,100%,"The Bank does 
not provide 
Accidental",,,0,0%,"64,655",,100%,,"The Bank has 
day care 
facilities at its 
head office 
which have been",,
,"Fe 
male",,,"21,158  21,158",,100%,,,,"21,158",100%,0,,0%,,,,
,Others,,2,2,,100%,,,,2,100%,2,,100%,,,,
,Total,,,,,,Insurance,,,,,,,,,"closed due to 
COVID-19",,
,Other than Permanent employees – Not Applicable,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,FY Current,,,,,,FY Previous,,,,,,,
,,Benefits,,,"No. 
of 
employees 
covered as 
a % 
of 
total 
 
employees",,,"No. 
of 
workers 
covered 
as a % of 
total 
 
workers","Deducted 
and 
deposited 
with   the 
authority 
(Y/N/N.A.)",,"No. 
of 
employees 
covered as 
a  % 
of 
total 
 
employees",,"No. 
of 
workers 
covered 
as a % of 
total 
 
workers",,"Deducted 
and 
deposited 
with   the 
authority 
(Y/N/N.A.)",,,
,,PF,,,99.9977%,,,NA,NA*,,99.9987%,,,,NA,,,
,,Gratuity,,,100%,,,NA,NA,,100%,,NA,,,,,
,,ESI,,,Not Applicable,,,,,,,,,,,,,
,,"Others (please 
specify)",,,Not Applicable,,,,,,,,,,,,,
"*
Axis Bank has an exempted PF Trust and hence the PF deposits are not made to any authority but 
directly to the Axis Bank PF Trust  
For more details, refer to page 190 & 191 of the Annual Report - https://www.axisbank.com/annual-
reports/2021-2022/Axis%20Bank%20AR%202021-22.pdf  
 
3. 
Accessibility of workplaces 
 
Are the premises / offices of the entity accessible to differently abled employees and workers, 
as per the requirements of the Rights of Persons with Disabilities Act, 2016? If not, whether any 
steps are being taken by the entity in this regard.",,,,,,,,,,,,,,,,,,
