0,1,2,3,4,5,6,7,8
"E
     
PRINCIPLE 5 Businesses should respect and promote human rights 
ssential Indicators 
 
1. 
Employees and workers who have been provided training on human rights issues and 
policy(ies) of the entity, in the following format: 
 
 
2.  Details of minimum wages paid to employees and workers, in the following format:",,,,,,,,
,Category,"FY 2022 
Current Financial Year",,,"FY 2021 
Previous Financial Year",,,
,,"Total 
(A)","No. 
of 
employees 
/ workers 
covered (B)",% (B/ A),"Total 
(C)","No. 
of 
employees 
/ 
workers 
covered (D)",% (D/C),
,Employees,,,,,,,
,Permanent,100%,,,Not Applicable,,,
,"Other 
than 
permanent","Not monitored presently, the Bank is 
working on integrating ESG in its 
value chain, these aspects shall be 
addressed as this initiative 
progresses",,,,,,
,Total Employees,100%,,,,,,
,,,,,,,,
,Workers,,,,,,,
,Permanent,,,,,,,
,"Other than 
Not Applicable 
permanent",,,,,,,
,Total Workers,,,,,,,
,,,,,,,,
,Category,"FY  
 
Current Financial Year",,,"FY  
 
Previous Financial Year",,,
,,"Total 
Equal 
to 
(A) 
Minimum 
Wage",,"More 
than 
Minimum 
Wage","Total 
Equal 
to 
(D) 
Minimum 
Wage",,"More 
than 
Minimum 
Wage",
,,"No. 
% 
(B  / 
(B) 
A)",,"No. 
% 
(C  / 
(C) 
A)","No. 
% 
(E  / 
(E) 
D)",,"No. 
% 
(F  / 
(F) 
D)",
,Employees,,,,,,,
,Permanent,"As an institution in the Banking sector, the Bank is compliant with the Labour laws of",,,,,,
,Male,,,,,,,
,Female,"India, that stipulate minimum wages for employees falling under different categories. 
 
The Bank's remuneration of employees is in alignment with Section 197 read with Rule 
5 (1) of the Companies (Appointment and Remuneration of 
Managerial Personnel) Rules, 2014, as amended, in respect of Directors / Employees of 
the Bank.  
 
The remuneration paid to all the employees / MD & CEO / Whole-Time Directors of 
the Bank, for the financial year 2021- 
22, is in accordance with the Remuneration Policy for MD & CEO, Whole-Time 
Directors, Material Risk Takers, Control Function Staff and other employees of the 
Bank. Please refer to page 74 & 79 and of the Annual Report 2021-22",,,,,,
,"than 
Other 
Permanent","100% 
Nil 
Nil 
 
 
100% 
Nil 
Nil",,,,,,
,,,,,,,,
