0,1,2,3,4
,,,,
,"Other Hazardous Waste. 
Please specify, if any (G)",NA,NA,
,"Other Non-Hazardous waste 
generated (H). Please specify, if 
any. (Break-up by composition 
i.e. by materials relevant to the 
sector)",86.65 MT/year,30.91 MT/year,
,"Total (A+B + C + D + E + F + G 
+ H)",,,
,,,,
,"For each category of waste generated, total waste recovered through recycling, re-using or other 
recovery operations (in metric tonnes)",,,
,Category of waste,,,
,"(i) Recycled 
100%",,,
,"(ii) Re-used 
NA",,,
,(iii) Other recovery options,,,
,Total,,,
,,,,
,"For each category of waste generated, total waste disposed by nature of disposal method (in 
metric tonnes)",,,
,Category of waste,,,
,(i) Incineration,,,
,(ii) Landfilling,,,
,(iii) Other disposal operations,,,
,Total,,,
"N
    9
  G
ote: Indicate if any independent assessment/ evaluation/assurance has been carried out by an 
external agency? (Y/N) If yes, name of the external agency. 
The Bank undergoes external Assurance of environmental performance. The assurance statement for 
FY 2021-22 has been provided here https://www.axisbank.com/docs/default-source/default-
document-library/sr-assurance-statement-21-22.pdf 
. 
Briefly  describe  the  waste  management  practices  adopted  in  your  establishments.  Describe  the 
strategy  adopted  by  your  company  to  reduce  usage  of  hazardous  and  toxic  chemicals  in  your 
products and processes and the practices adopted to manage such wastes. 
iven the nature of the Bank’s business activities, which is providing banking products and services 
to  serve  its  customers  and  stakeholders,  it  largely  consumes  resources  for  running  its  banking 
operations. This includes purchased electricity and the use of diesel gen sets at its branches, and use 
of paper in its banking forms, statements, and other such documents that the Bank uses to conduct 
its banking activities. The Bank has in place its Policy on Environmental Management that provides 
a strategic guidance to its activities aimed at enhancing resource use efficiency and waste reduction 
while  improving  productivity  and  efficiency.  Through  varied  initiatives,  the  Bank  works  towards 
reducing its resource consumption, as well as focus on enhancing energy efficiency. In addition, the 
digitization of its internal processes has aided its efforts, such as by replacing the need for paper. 
The  Bank  also  engages  with  authorised  waste 
recycling  vendors  empanelled  with  MPCB 
(Maharashtra Pollution Control Board) and CPCB (Central Pollution Control Board) for disposal of e-
waste in compliance  with pertinent government regulations. In general,  the Bank  does not utilise 
any  hazardous  and  toxic  chemicals  in  its  products  and  processes,  thus,  it  does  not  generate  any 
hazardous or toxic by-product or waste as an outcome.",,,,
